Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,44.130001,44.450001,44.000000,44.349998,44.349998,7140300
2017-04-18,44.200001,44.779999,43.970001,44.410000,44.410000,7973800
2017-04-19,44.810001,45.599998,44.700001,45.080002,45.080002,8488200
2017-04-20,45.410000,46.169998,45.250000,45.930000,45.930000,7679200
2017-04-21,45.849998,46.040001,45.299999,45.529999,45.529999,6396000
2017-04-24,46.500000,46.930000,46.070000,46.810001,46.810001,12522600
2017-04-25,47.139999,47.549999,46.700001,46.730000,46.730000,7873900
2017-04-26,46.730000,47.060001,46.340000,46.369999,46.369999,7610700
2017-04-27,45.680000,45.860001,44.860001,45.740002,45.740002,12388000
2017-04-28,45.900002,46.040001,45.290001,45.439999,45.439999,6600000
2017-05-01,45.590000,46.000000,45.400002,45.400002,45.400002,6378900
2017-05-02,45.669998,47.930000,45.509998,47.830002,47.830002,12931000
2017-05-03,47.660000,48.490002,47.540001,48.310001,48.310001,9912400
2017-05-04,48.459999,48.799999,48.200001,48.639999,48.639999,7467400
2017-05-05,48.630001,49.029999,48.250000,48.700001,48.700001,5275200
2017-05-08,48.730000,49.090000,48.400002,48.520000,48.520000,8671600
2017-05-09,49.000000,49.939999,48.880001,49.560001,49.560001,8759600
2017-05-10,49.349998,49.990002,49.200001,49.970001,49.970001,7548700
2017-05-11,50.009998,50.180000,48.910000,49.689999,49.689999,8817400
2017-05-12,49.490002,49.570000,48.900002,48.990002,48.990002,7180500
2017-05-15,49.119999,49.709999,49.000000,49.509998,49.509998,5539300
2017-05-16,49.619999,49.639999,48.779999,49.509998,49.509998,6422800
2017-05-17,49.310001,49.310001,47.669998,47.740002,47.740002,8274500
2017-05-18,47.639999,48.290001,47.549999,47.660000,47.660000,5071000
2017-05-19,47.849998,48.639999,47.810001,48.200001,48.200001,6137000
2017-05-22,48.369999,48.720001,48.340000,48.490002,48.490002,6548300
2017-05-23,48.560001,48.830002,48.310001,48.590000,48.590000,5592300
2017-05-24,48.669998,48.970001,48.480000,48.869999,48.869999,5139600
2017-05-25,48.990002,50.430000,48.959999,50.400002,50.400002,7243300
